bytes, codes, ebits, ll_aht, d_aht, ratio
38241, 527, 135, 141079, 11574, 4.009179
38242, 527, 135, 141088, 11574, 4.009309
38243, 527, 135, 141096, 11574, 4.009413
38244, 527, 135, 141104, 11574, 4.009518
38245, 527, 135, 141112, 11574, 4.009622
38246, 527, 135, 141120, 11574, 4.009727
38247, 527, 135, 141129, 11574, 4.009857
38248, 527, 135, 141138, 11574, 4.009987
38249, 527, 135, 141145, 11574, 4.010066
38250, 527, 135, 141153, 11574, 4.010170
38251, 527, 135, 141162, 11574, 4.010300
38252, 527, 135, 141171, 11574, 4.010431
38253, 530, 135, 141180, 11574, 4.010640
38254, 530, 135, 141189, 11574, 4.010770
38255, 530, 135, 141197, 11574, 4.010874
38256, 530, 135, 141205, 11574, 4.010979
38257, 530, 135, 141214, 11574, 4.011109
38258, 530, 135, 141221, 11574, 4.011187
38259, 530, 135, 141230, 11574, 4.011318
38260, 530, 135, 141239, 11574, 4.011448
38261, 534, 137, 141246, 11574, 4.011683
38262, 534, 137, 141255, 11574, 4.011813
38263, 534, 137, 141264, 11574, 4.011944
38266, 534, 137, 141267, 11577, 4.011786
38267, 534, 137, 141274, 11577, 4.011864
38268, 534, 137, 141283, 11577, 4.011994
38269, 534, 137, 141292, 11577, 4.012125
38270, 534, 137, 141299, 11577, 4.012203
38271, 534, 137, 141308, 11577, 4.012333
38272, 534, 137, 141317, 11577, 4.012463
38273, 534, 137, 141324, 11577, 4.012541
38274, 534, 137, 141333, 11577, 4.012672
38275, 534, 137, 141342, 11577, 4.012802
38280, 534, 137, 141348, 11579, 4.012487
38281, 534, 137, 141357, 11579, 4.012617
38282, 534, 137, 141364, 11579, 4.012695
38286, 534, 137, 141370, 11583, 4.012537
38287, 534, 137, 141378, 11583, 4.012641
38288, 534, 137, 141385, 11583, 4.012719
38291, 534, 137, 141388, 11587, 4.012588
38292, 534, 137, 141398, 11587, 4.012744
38295, 534, 137, 141401, 11591, 4.012613
38296, 534, 137, 141409, 11591, 4.012717
38297, 534, 137, 141416, 11591, 4.012795
38298, 534, 137, 141426, 11591, 4.012951
